,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,39.53574471144965,36.795998946804644,42.177206483631444,52.95420238500341,54.835726847741114,51.14017459969522,7.510052903546925,8.368274205454235,6.682618916673339
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",84.83184327590453,84.57875784900158,85.0720135554928,13.950994740121425,15.23971074011249,12.728042925727195,1.217161983974034,0.1815314108859328,2.199943518780006
2,Tompkins County PUMA,49.41837144003209,46.76436042284244,51.84976429596229,45.893836074341486,46.83147827059679,45.034843205574916,4.687792485626421,6.40416130656077,3.1153924984628
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,49.43913900257692,45.79902694610779,52.8814959004306,44.75822343489465,46.57248003992016,43.042529345838496,5.802637562528422,7.628493013972055,4.075974753730903
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",41.20675180062746,44.04958328045014,38.09942196531792,53.47090274402368,51.114777679062485,56.04624277456648,5.322345455348858,4.835639040487372,5.854335260115607
5,Madison & Cortland Counties PUMA,29.044104969136868,24.791373330128096,33.33217909207383,63.09700334494293,66.25914351454377,59.90858409224696,7.858891685920204,8.949483155328137,6.7592368156792135
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,14.935550370387151,11.180508955763175,17.87242632216391,69.1547923793127,73.01398854075259,66.13645538958417,15.90965725030016,15.805502503484231,15.991118288251919
7,Dutchess County (Southwest) PUMA,35.27027212095482,34.03284178685248,36.54321673658767,55.70741861707227,55.12072597634094,56.31094935126274,9.02230926197291,10.846432236806567,7.145833912149585
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",13.52361845704906,13.31077928138124,13.660179640718562,58.01340507021704,55.40130657956136,59.689371257485035,28.462976472733903,31.2879141390574,26.650449101796408
9,Dutchess County (North & East) PUMA,36.98854066906641,32.046231482988766,42.07458035983516,57.303259469634426,59.64186879374898,54.89663952826079,5.708199861299165,8.311899723262249,3.028780111904044
10,Erie County (Central) PUMA,24.015924422995685,21.060517561012773,27.01977182386041,71.95944648549009,74.75175864083094,69.1213669918951,4.024629091514228,4.187723798156284,3.8588611842444895
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,27.50059171597633,24.83520652534737,30.156405046543494,66.10650887573965,67.55821122018305,64.66001984595758,6.392899408284023,7.606582254469578,5.183575107498937
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",26.494226850803713,24.075815125418373,28.92893650853746,66.61761376499888,68.42540709262532,64.79763752697535,6.888159384197419,7.498777781956301,6.273425964487184
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,51.667452459531674,42.28708664326621,61.44709809964047,38.13609932421814,45.74173286532422,30.206728299948637,10.196448216250197,11.97118049140957,8.34617360041089
14,Westchester County (Northeast) PUMA,70.75965946299935,68.2895934766259,72.86007607122421,26.717237866550242,29.735185844911534,24.15093069440237,2.5231026704504114,1.9752206784625737,2.9889932343734222
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,54.77476025465388,50.98754494762624,58.8036367668256,42.68138716522954,46.02115795507843,39.128506486306684,2.543852580116582,2.9912970972953254,2.0678567468677236
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,23.793594306049823,24.238578680203045,23.340040241448694,68.90035587188612,69.31049069373942,68.48232250646737,7.306049822064057,6.45093062605753,8.177637252083931
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,51.16689743744105,43.2928394216785,58.12511812511813,45.08257580318263,52.99854564120113,38.08731808731809,3.750526759376317,3.70861493712037,3.787563787563788
18,Niagara County (North & East) PUMA,28.389277774715683,28.3448631145128,28.433566946758155,67.63673776846902,68.31395348837209,66.96143543830037,3.973984456815301,3.3411833971151017,4.604997614941475
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",31.075722828300144,25.19184969568669,36.638452237001204,61.05836208928992,64.9025315339155,57.42400867280991,7.865915082409927,9.905618770397814,5.937539090188883
20,"Chenango, Delaware & Broome (East) Counties PUMA",18.82849007009346,13.03158050440056,24.479129118304378,68.78285630841121,70.05029213815546,67.54740105255568,12.388653621495326,16.918127357443975,7.973469829139932
21,Oswego County PUMA,22.508921218775736,19.59715715332887,25.49911631864895,67.4508727454748,69.28641998916405,65.56588335406165,10.040206035749463,11.116422857507091,8.93500032728939
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",49.91525423728814,45.18373171601855,55.20542481053051,46.3308223477715,48.42430728980854,43.990160882861325,3.753923414940364,6.39196099417291,0.8044143066081638
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,30.396554817871884,30.952380952380953,29.946072379962313,58.80136371792572,61.08706108706109,56.94886622051849,10.802081464202404,7.960557960557961,13.1050613995192
24,Ontario & Yates Counties PUMA,28.118525289457647,24.31464936972219,31.891006190071607,61.515843997562456,64.21490637620855,58.839058138123555,10.36563071297989,11.47044425406927,9.26993567180483
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",50.08143072242879,47.35212139981419,52.768630320770825,43.23203146606029,45.543511923196036,40.95621417246005,6.686537811510925,7.10436667698978,6.275155506769119
26,Erie County (Northwest) PUMA,34.88193614021311,32.95740275107233,36.677591857857514,61.33252422852451,63.28945422274811,59.50664136622391,3.7855396312623824,3.753143026179559,3.8157667759185783
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,49.39959149776671,47.17202534616287,51.44098417068135,40.86593495387516,42.59094109363999,39.28509979353063,9.734473548358135,10.237033560197137,9.273916035788025
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",32.98197150334399,33.40633554947204,32.61356691790589,55.99374818261123,54.47008212749316,57.31649351531202,11.02428031404478,12.123582323034807,10.0699395667821
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",86.28964858518725,86.60460752117336,85.92397224929763,12.152929783367162,12.148448109829872,12.158133134567972,1.5574216314455898,1.2469443689967654,1.9178946161343962
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",19.901512486809708,16.966475878986103,22.117283950617285,59.77840309532184,58.09484873262469,61.04938271604938,20.320084417868447,24.938675388389207,16.833333333333332
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,59.16018559799211,59.600443951165374,58.760124806958935,34.07803702052476,35.71725860155383,32.588483721516596,6.7617773814831335,4.682297447280799,8.651391471524473
32,Erie County (West Central)--Buffalo City (West) PUMA,38.30201032118924,38.70034407256803,37.91546516922143,50.88577370407455,49.781044729433845,51.957808468659884,10.812215974736192,11.518611197998123,10.126726362118681
33,Schenectady County--Schenectady City PUMA,32.080413491411136,29.14544593154092,34.68834688346883,60.51073433734101,61.36444391803862,59.75215091956745,7.408852171247858,9.490110150420467,5.559502196963717
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,67.9364731996311,68.51730894839973,67.40323209306509,26.7831741515952,25.79359895493142,27.691661919467514,5.280352648773701,5.689092096668844,4.905105987467395
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",18.472697816561727,15.427821139397476,21.576208178438662,72.88744062741632,74.0243635567875,71.72862453531599,8.639861556021945,10.547815303815012,6.695167286245353
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,61.008462416913126,58.376230975828115,63.89827384974507,29.252437703141926,32.027752909579235,26.205540880889487,9.73909987994495,9.59601611459266,9.89618526936544
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,60.0433543036215,60.566875029822974,59.532675479426544,37.6216394524163,37.93959059025624,37.31148761869298,2.3350062439622064,1.49353437992079,3.155836901880469
38,Erie County (Northeast) PUMA,37.46363373428382,34.84858888965186,40.032376648342385,60.208925259880566,61.7935864863009,58.6523220127483,2.327441005835616,3.357824624047243,1.3153013389093118
39,Monroe County (North & West) PUMA,33.3277663345024,26.994117867445954,39.54334877564527,63.248529384475496,68.0903675396201,58.49694830502242,3.423704281022101,4.915514592933948,1.9597029193323041
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,27.277206916042264,26.042831340844586,28.539187525646287,64.53716720532182,65.06120810756573,64.00140688199777,8.185625878635923,8.89596055158969,7.4594055923559415
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",36.19129035502364,38.35908364411294,33.85098039215686,48.47128633209293,42.05453576790817,55.39869281045752,15.337423312883436,19.586380587978883,10.75032679738562
42,Erie County (West Central)--Buffalo City (East) PUMA,13.9027999940203,15.584293292319282,12.373694125706457,71.15243747477315,70.57032549671992,71.68179482788149,14.944762531206553,13.845381210960797,15.944511046412057
43,Suffolk County (Northwest)--Smithtown Town PUMA,55.37172208705056,51.283166594171384,59.41499085923218,42.51419302514193,46.175873568218066,38.89307093952755,2.1140848878075156,2.540959837610555,1.6919382012402766
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,63.09641410649017,62.15095659123833,64.02090558296292,35.43169021041193,35.94585144113093,34.92893078689005,1.471895683097896,1.9031919676307507,1.050163630147023
45,NYC-Manhattan Community District 8--Upper East Side PUMA,88.23589933534993,86.81249686071627,89.22371723368656,10.82165565775665,12.258275151941334,9.824665365309537,0.9424450068934297,0.929227987342408,0.9516174010039041
46,Suffolk County (Southwest)--Islip Town (South) PUMA,40.74228959749085,36.21577441765427,45.48490687219011,54.92733925771041,58.26317940335104,51.43224149004496,4.330371144798746,5.521046178994688,3.0828516377649327
47,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",75.8185428628604,73.72141901789695,77.78075742677512,19.91749149515878,21.01140054773581,18.893954292184382,4.26396564198082,5.267180434367238,3.3252882810404936
48,Erie County (South) PUMA,35.60259451195522,32.00324631408088,39.182492881006304,60.138044223613655,63.34370350331394,56.949707392542436,4.25936126443113,4.653050182605167,3.867799726451266
49,Albany County (Outside Albany City) PUMA,40.45838593765174,39.61179479332881,41.28377802403887,55.75302407389423,57.80672801591291,53.75074588696616,3.7885899884540266,2.581477190758268,4.96547608899497
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,30.76923076923077,27.003032809484424,33.61376035983508,61.894367199734255,61.09181141439206,62.50052059472742,7.336402031034973,11.905155776123518,3.885719045437508
51,Erie County (North Central) PUMA,56.583272641379445,53.00659833174254,59.81052946903318,40.04881601480228,41.78943436942358,38.47824458923089,3.3679113438182786,5.20396729883388,1.7112259417359394
52,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",37.11406061466393,31.75731721767982,42.0425740685219,58.34338845908156,61.6897736698661,55.26452070102755,4.542550926254525,6.552909112454082,2.6929052304505436
53,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",55.73063463539204,47.39379114356632,64.97646213995053,35.48472524354488,42.3144717435879,27.910316763743715,8.784640121063084,10.291737112845786,7.113221096305752
54,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,81.4390182011119,78.71964010412718,83.72196643398188,17.898913469745555,20.42358531099148,15.779423309499055,0.6620683291425408,0.8567745848813405,0.49861025651906393
55,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",35.24582809976673,35.925581395348836,34.612718766245024,55.21711824869908,56.3813953488372,54.13273262866054,9.537053651534183,7.693023255813953,11.254548605094437
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",41.719062329638376,40.95362508164598,42.48689574839837,50.216245684172264,49.12548080412221,51.31042516016308,8.06469198618935,9.920894114231801,6.202679091438556
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",23.63231607916002,17.381730603819026,30.12435677530017,65.23164297358412,69.23103388955789,61.07775871926815,11.136040947255868,13.387235506623085,8.797884505431675
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,49.18925875085793,42.67008758736618,55.32517278707636,48.22409059711737,52.685127842165805,44.02531434757265,2.586650652024708,4.644784570468017,0.6495128653509868
59,Albany County (East Central)--Albany City PUMA,35.1505788237286,31.267878361131896,38.74755381604697,58.34162239952594,61.34313250891168,55.56099151989563,6.5077987767454655,7.388989129956432,5.691454664057403
60,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,61.35484901741493,59.582104501697174,63.74587211047733,26.703946317303085,26.225585665794892,27.349144401080753,11.941204665281994,14.192309832507929,8.904983488441909
61,Rensselaer County--Troy City PUMA,26.351624894188657,24.29313903464054,28.355932203389834,66.09252511869272,68.02277870340437,64.21307506053269,7.555849987118619,7.684082261955089,7.430992736077482
62,Warren & Washington Counties PUMA,21.369291558336638,16.600968577542517,26.570033473574302,68.3455984958651,69.47009798400721,67.11912293093388,10.285109945798263,13.928933438450276,6.310843595491816
63,Orange County (Northeast)--Greater Newburgh City PUMA,27.61829497184629,26.067495840925297,29.161575150774567,66.10293391287168,68.15733185455122,64.05849659032677,6.278771115282031,5.775172304523489,6.779928258898655
64,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",56.6771361104106,52.10486750610788,61.034251175285426,36.55746349068066,41.261041157677134,32.07521826729349,6.765400398908733,6.634091336214998,6.890530557421087
65,Fulton & Montgomery Counties PUMA,18.925845660981818,15.072192012000752,22.818181818181817,69.62404598134363,68.81305081567598,70.44318181818183,11.45010835767455,16.114757172323273,6.738636363636363
66,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,32.515880289479504,29.15801764400623,35.70592222838479,52.580349524381376,55.63700051894136,49.6764651506748,14.903770186139115,15.204981837052415,14.617612620940406
67,Monroe County (Central)--Rochester City (East) PUMA,33.08876680641897,34.73461032314666,31.47962830593281,51.38427063755964,52.873227079982456,49.92852037169407,15.526962556021395,12.392162596870888,18.591851322373124
68,Chautauqua County PUMA,20.532325164738392,17.661999939524055,23.427159891433625,71.65133157207495,73.09425176136192,70.19609039065597,7.816343263186663,9.243748299114026,6.376749717910402
69,Nassau County (Northwest)--North Hempstead Town (North) PUMA,80.88517587260388,84.27987801369468,77.87637698898409,18.617352042609568,15.150468956786927,21.690126478988166,0.49747208478654664,0.5696530295183843,0.4334965320277438
70,"Clinton, Franklin, Essex & Hamilton Counties PUMA",24.851075286911453,18.6078480379905,32.139470420891385,66.658813762775,69.57635591102225,63.25285092518297,8.490110950313555,11.815796050987252,4.607678653925644
71,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,64.55859264924922,55.335326783425884,72.77710109622411,32.3940260053943,38.282785134557884,27.146772228989036,3.047381345356467,6.381888082016232,0.0761266747868453
72,Monroe County (Central)--Rochester City (West) PUMA,17.58318345323741,18.455300830914005,16.8720920741164,66.91996402877697,67.50926018620483,66.43947432862623,15.496852517985612,14.035438982881168,16.688433597257365
73,Orange County (Southeast) PUMA,37.19955857321886,33.18883030658075,40.88592145882691,55.63847894805753,58.34797891036907,53.148108263335494,7.161962478723603,8.463190783050186,5.965970277837605
74,Rockland County (North)--New City & Congers PUMA,48.733155139770574,45.536316617944685,51.87003530450133,45.72335449381891,50.326062514054414,41.206972639011475,5.543490366410513,4.1376208680009,6.922992056487202
75,Westchester County (Southeast) PUMA,67.9965572769171,69.7240352685217,66.3702026735662,30.887334110722414,29.29119432039391,32.39003880983182,1.1161086123604864,0.9847704110843924,1.2397585166019836
